layer,accuracy,energy_ratio,energy_pj
original,0.9903,0.737857,1689447000000.0
batchnorm2d_1,0.9898,0.76089245,1742185600000.0
batchnorm2d_4,0.971,0.79082954,1810730600000.0
batchnorm2d_8,0.971,0.79576886,1822041600000.0
batchnorm2d_11,0.9713,0.8013711,1834876300000.0
batchnorm2d_15,0.9703,0.8045705,1842207100000.0
batchnorm2d_18,0.9703,0.8070418,1847871100000.0
batchnorm2d_21,0.9705,0.81117916,1857352100000.0
batchnorm2d_25,0.9714,0.81349945,1862667600000.0
batchnorm2d_28,0.9704,0.81481946,1865685400000.0
batchnorm2d_31,0.9704,0.81481946,1865685400000.0
batchnorm2d_35,0.9704,0.81481946,1865685400000.0
batchnorm2d_38,0.9704,0.81481946,1865685400000.0
batchnorm2d_41,0.9704,0.81481946,1865685400000.0
