layer,accuracy,energy_ratio,energy_pj
original,0.9106,0.678547,1556411300000.0
batchnorm2d_1,0.9009,0.6839698,1568861300000.0
batchnorm2d_4,0.9009,0.6839698,1568861300000.0
batchnorm2d_8,0.901,0.684034,1569008300000.0
batchnorm2d_11,0.9009,0.6842567,1569520700000.0
batchnorm2d_15,0.9014,0.68452156,1570128900000.0
batchnorm2d_18,0.9008,0.6849092,1571018800000.0
batchnorm2d_21,0.9007,0.6856312,1572676000000.0
batchnorm2d_25,0.9007,0.68613845,1573839700000.0
batchnorm2d_28,0.9007,0.6862155,1574016100000.0
batchnorm2d_31,0.9007,0.68629616,1574201600000.0
batchnorm2d_35,0.9007,0.68629616,1574201600000.0
batchnorm2d_38,0.9007,0.6863085,1574229900000.0
batchnorm2d_41,0.9007,0.6865652,1574818800000.0
