layer,accuracy,energy_ratio,energy_pj
original,0.5494,0.67051053,6091330600000.0
batchnorm2d_1,0.5295,0.67823964,6161547000000.0
batchnorm2d_4,0.5311,0.68106705,6187245000000.0
batchnorm2d_8,0.5298,0.682065,6196307000000.0
batchnorm2d_11,0.5298,0.6837229,6211368000000.0
batchnorm2d_15,0.5295,0.68380755,6212137500000.0
batchnorm2d_18,0.5296,0.68386567,6212665000000.0
batchnorm2d_21,0.5297,0.68398744,6213771700000.0
batchnorm2d_25,0.5295,0.68412817,6215051000000.0
batchnorm2d_28,0.5296,0.6841887,6215600000000.0
batchnorm2d_31,0.5296,0.6841887,6215600000000.0
batchnorm2d_35,0.5295,0.6841949,6215656500000.0
batchnorm2d_38,0.5295,0.68421596,6215847000000.0
batchnorm2d_41,0.5295,0.68450123,6218438400000.0
