layer,accuracy,energy_ratio,energy_pj
original,0.9106,0.678547,1556411300000.0
batchnorm2d_1,0.8607,0.69264966,1588787500000.0
batchnorm2d_4,0.8609,0.6937178,1591244200000.0
batchnorm2d_8,0.8606,0.6941766,1592299100000.0
batchnorm2d_11,0.8629,0.69483966,1593823900000.0
batchnorm2d_15,0.8608,0.6955434,1595438500000.0
batchnorm2d_18,0.8608,0.6964668,1597557800000.0
batchnorm2d_21,0.8609,0.69703066,1598851800000.0
batchnorm2d_25,0.8606,0.6973011,1599472300000.0
batchnorm2d_28,0.8608,0.69751257,1599957500000.0
batchnorm2d_31,0.8606,0.69760823,1600176900000.0
batchnorm2d_35,0.8606,0.69778,1600571000000.0
batchnorm2d_38,0.8606,0.6979971,1601069000000.0
batchnorm2d_41,0.8606,0.6983169,1601802700000.0
