layer,accuracy,energy_ratio,energy_pj
original,0.5494,0.67051053,6091330600000.0
batchnorm2d_1,0.4995,0.6832882,6207363400000.0
batchnorm2d_4,0.4997,0.6906434,6274191700000.0
batchnorm2d_8,0.4996,0.69221175,6288428000000.0
batchnorm2d_11,0.4994,0.69390595,6303827000000.0
batchnorm2d_15,0.4994,0.6939158,6303917300000.0
batchnorm2d_18,0.4994,0.6942762,6307191500000.0
batchnorm2d_21,0.4995,0.69482434,6312170600000.0
batchnorm2d_25,0.4999,0.69522077,6315770400000.0
batchnorm2d_28,0.4994,0.69542605,6317636000000.0
batchnorm2d_31,0.4995,0.69554293,6318697000000.0
batchnorm2d_35,0.5003,0.69554985,6318760000000.0
batchnorm2d_38,0.4994,0.6955597,6318849000000.0
batchnorm2d_41,0.4994,0.6959377,6322283600000.0
