layer,accuracy,energy_ratio,energy_pj
original,0.5494,0.67051053,6091330600000.0
batchnorm2d_1,0.5496,0.6750084,6132200400000.0
batchnorm2d_4,0.5497,0.6757995,6139387300000.0
batchnorm2d_8,0.5498,0.6759981,6141192000000.0
batchnorm2d_11,0.5495,0.67757875,6155555300000.0
batchnorm2d_15,0.5496,0.67784595,6157982000000.0
batchnorm2d_18,0.5494,0.67789257,6158405300000.0
batchnorm2d_21,0.5494,0.6780139,6159507400000.0
batchnorm2d_25,0.5495,0.67817277,6160949000000.0
batchnorm2d_28,0.5495,0.6782413,6161573000000.0
batchnorm2d_31,0.5497,0.6782881,6161998000000.0
batchnorm2d_35,0.5497,0.6782881,6161998000000.0
batchnorm2d_38,0.5494,0.67831194,6162215000000.0
batchnorm2d_41,0.5494,0.6784265,6163254500000.0
