layer,accuracy,energy_ratio,energy_pj
original,0.9106,0.678547,1556411300000.0
batchnorm2d_1,0.8606,0.6919277,1587128300000.0
batchnorm2d_4,0.8606,0.69908065,1603542200000.0
batchnorm2d_8,0.8613,0.70085055,1607605200000.0
batchnorm2d_11,0.8607,0.7012166,1608447000000.0
batchnorm2d_15,0.8606,0.7017779,1609735900000.0
batchnorm2d_18,0.8606,0.7023227,1610986800000.0
batchnorm2d_21,0.8606,0.7033738,1613400100000.0
batchnorm2d_25,0.8606,0.703634,1613997100000.0
batchnorm2d_28,0.8606,0.703753,1614269900000.0
batchnorm2d_31,0.8606,0.7038153,1614412800000.0
batchnorm2d_35,0.8606,0.7040702,1614998000000.0
batchnorm2d_38,0.8607,0.7042273,1615358300000.0
batchnorm2d_41,0.8606,0.7051444,1617463100000.0
