layer,accuracy,energy_ratio,energy_pj
original,0.9903,0.737857,1689447000000.0
batchnorm2d_1,0.9904,0.76145256,1743468000000.0
batchnorm2d_4,0.9903,0.7790155,1783692100000.0
batchnorm2d_8,0.9903,0.7816969,1789830800000.0
batchnorm2d_11,0.9903,0.7840554,1795236800000.0
batchnorm2d_15,0.9904,0.7856028,1798781400000.0
batchnorm2d_18,0.9907,0.7866471,1801175300000.0
batchnorm2d_21,0.9903,0.78790176,1804050100000.0
batchnorm2d_25,0.9903,0.78844434,1804585400000.0
batchnorm2d_28,0.9903,0.78844434,1804585400000.0
batchnorm2d_31,0.9903,0.78844434,1804585400000.0
batchnorm2d_35,0.9903,0.78844434,1804585400000.0
batchnorm2d_38,0.9903,0.78844434,1804585400000.0
batchnorm2d_41,0.9903,0.78844434,1804585400000.0
