layer,accuracy,energy_ratio,energy_pj
original,0.9106,0.678547,1556411300000.0
batchnorm2d_1,0.9109,0.68162495,1563479600000.0
batchnorm2d_4,0.9109,0.68162495,1563479600000.0
batchnorm2d_8,0.9109,0.68162495,1563479600000.0
batchnorm2d_11,0.9106,0.682072,1564506000000.0
batchnorm2d_15,0.9107,0.682247,1564907700000.0
batchnorm2d_18,0.9106,0.68243647,1565343000000.0
batchnorm2d_21,0.9106,0.6828578,1566310400000.0
batchnorm2d_25,0.9106,0.6829158,1566443700000.0
batchnorm2d_28,0.9106,0.68303096,1566708000000.0
batchnorm2d_31,0.9106,0.68306845,1566793800000.0
batchnorm2d_35,0.9106,0.68311435,1566899400000.0
batchnorm2d_38,0.9106,0.6831268,1566928000000.0
batchnorm2d_41,0.9106,0.683345,1567428300000.0
