layer,accuracy,energy_ratio,energy_pj
original,0.9903,0.737857,1689447000000.0
batchnorm2d_1,0.9898,0.76089245,1742185600000.0
batchnorm2d_4,0.9407,0.7940644,1818134300000.0
batchnorm2d_8,0.9473,0.79918706,1829863000000.0
batchnorm2d_11,0.9437,0.8058276,1845071200000.0
batchnorm2d_15,0.9403,0.80999625,1854622900000.0
batchnorm2d_18,0.9405,0.81271774,1860857100000.0
batchnorm2d_21,0.9426,0.81687605,1870384900000.0
batchnorm2d_25,0.9462,0.81963843,1876713400000.0
batchnorm2d_28,0.9422,0.822086,1882321200000.0
batchnorm2d_31,0.9407,0.8245584,1887985200000.0
batchnorm2d_35,0.9671,0.8252802,1889638500000.0
batchnorm2d_38,0.9659,0.82612336,1891569500000.0
batchnorm2d_41,0.9553,0.82696474,1892751400000.0
